City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Country,Event_gender,Medal,Medal_Points
Montreal,1976.0,Aquatics,Diving,3m springboard,"KÖHLER, Christa",Female,GDR,East Germany,W,Silver,2
Montreal,1976.0,Aquatics,Diving,3m springboard,"KOSENKOV, Aleksandr",Male,URS,Soviet Union,M,Bronze,1
Montreal,1976.0,Aquatics,Diving,3m springboard,"BOGGS, Philip George",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Diving,3m springboard,"CAGNOTTO, Giorgio Franco",Male,ITA,Italy,M,Silver,2
Montreal,1976.0,Aquatics,Diving,10m platform,"WILSON, Deborah Keplar",Female,USA,United States,W,Bronze,1
Montreal,1976.0,Aquatics,Diving,10m platform,"LOUGANIS, Gregory",Male,USA,United States,M,Silver,2
Montreal,1976.0,Aquatics,Diving,10m platform,"VAYTSEKHOVSKAYA, Elena",Female,URS,Soviet Union,W,Gold,3
Montreal,1976.0,Aquatics,Diving,3m springboard,"POTTER-MCINGVALE, Cynthia",Female,USA,United States,W,Bronze,1
Montreal,1976.0,Aquatics,Diving,10m platform,"DIBIASI, Klaus",Male,ITA,Italy,M,Gold,3
Montreal,1976.0,Aquatics,Diving,10m platform,"ALEINIK, Vladimir",Male,URS,Soviet Union,M,Bronze,1
Montreal,1976.0,Aquatics,Diving,10m platform,"KNAPE-LINDBERGH, Ulrika",Female,SWE,Sweden,W,Silver,2
Montreal,1976.0,Aquatics,Diving,3m springboard,"CHANDLER, Jennifer Kay",Female,USA,United States,W,Gold,3
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"BABASHOFF, Shirley Farber",Female,USA,United States,W,Gold,3
Montreal,1976.0,Aquatics,Swimming,400m freestyle,"SHAW, Timothy Andrew",Male,USA,United States,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"PRIEMER, Petra",Female,GDR,East Germany,W,Silver,2
Montreal,1976.0,Aquatics,Swimming,1500m freestyle,"HOLLAND, Stephen",Male,AUS,Australia,M,Bronze,1
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"SMIRNOV, Andrei",Male,URS,Soviet Union,M,Bronze,1
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"ANKE, Hannelore",Female,GDR,East Germany,W,Gold,3
Montreal,1976.0,Aquatics,Swimming,800m freestyle,"BABASHOFF, Shirley Farber",Female,USA,United States,W,Silver,2
Montreal,1976.0,Aquatics,Swimming,800m freestyle,"THÜMER, Petra",Female,GDR,East Germany,W,Gold,3
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"SMITH, Rebecca",Female,CAN,Canada,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,200m backstroke,"ROCCA, Peter Drake",Male,USA,United States,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,400m freestyle,"GOODELL, Brian Stuart",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"MCKEE, Alexander Timothy",Male,USA,United States,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"EVANS, Clayton",Male,CAN,Canada,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,200m freestyle,"MONTGOMERY, James Paul",Male,USA,United States,M,Bronze,1
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"VOGEL, Matthew Haynes",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,100m backstroke,"MATTHES, Roland",Male,GDR,East Germany,M,Bronze,1
Montreal,1976.0,Aquatics,Swimming,100m backstroke,"NABER, John Phillips",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,100m backstroke,"ROCCA, Peter Drake",Male,USA,United States,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"KRAUS, Michael",Male,FRG,West Germany,M,Bronze,1
Montreal,1976.0,Aquatics,Swimming,200m freestyle,"BRIGITHA, Enith",Female,NED,Netherlands,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"DUNNE, David Michael",Male,GBR,United Kingdom,M,Bronze,1
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"NABER, John Phillips",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"HEMPEL, Claudia",Female,GDR,East Germany,W,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"MAC DONALD, Gary",Male,CAN,Canada,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"BOGDANOV, Andrei",Male,URS,Soviet Union,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"HALL, Gary Wayne",Male,USA,United States,M,Bronze,1
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"SMITH, Rebecca",Female,CAN,Canada,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"KOSHEVAYA, Marina",Female,URS,Soviet Union,W,Gold,3
Montreal,1976.0,Aquatics,Swimming,200m backstroke,"GARAPICK, Nancy Ellen",Female,CAN,Canada,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,800m freestyle,"WEINBERG, Wendy Elizabeth",Female,USA,United States,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"MONTGOMERY, James Paul",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"RASKATOV, Vladimir",Male,URS,Soviet Union,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"ENDER, Kornelia",Female,GDR,East Germany,W,Gold,3
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"JARDIN, Anne Elizabeth",Female,CAN,Canada,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"YOZAITIS, Arvidas",Male,URS,Soviet Union,M,Bronze,1
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"WRIGHT, Camille",Female,USA,United States,W,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"KRYLOV, Andrei",Male,URS,Soviet Union,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"DOWNIE, Gordon Hunter",Male,GBR,United Kingdom,M,Bronze,1
Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"WILKIE, David Andrew",Male,GBR,United Kingdom,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"PEYTON, Kim Marie",Female,USA,United States,W,Gold,3
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"MONTGOMERY, James Paul",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,200m butterfly,"TAUBER, Ulrike",Female,GDR,East Germany,W,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"CLARK, Barbara Lynny",Female,CAN,Canada,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"AMUNDRUD, Gail",Female,CAN,Canada,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"ENDER, Kornelia",Female,GDR,East Germany,W,Gold,3
Montreal,1976.0,Aquatics,Swimming,200m butterfly,"BRUNER, Michael Lee",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"GIBSON, Cheryl",Female,CAN,Canada,W,Silver,2
Montreal,1976.0,Aquatics,Swimming,200m backstroke,"NABER, John Phillips",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,200m freestyle,"ENDER, Kornelia",Female,GDR,East Germany,W,Gold,3
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"BOGLIOLI, Wendy Lansbach",Female,USA,United States,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"SMITH, Graham",Male,CAN,Canada,M,Silver,2
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"VOGEL, Matthew Haynes",Male,USA,United States,M,Gold,3
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"SMITH-SLOAN, Susan Estelle",Female,CAN,Canada,W,Bronze,1
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"COOK-HOGG, Wendy",Female,CAN,Canada,W,Bronze,1
